"hsa-mir-15a"	21	21
"hsa-mir-16"	20	20
"hsa-mir-495"	20	20
"hsa-mir-15b"	20	20
"hsa-mir-130a"	20	20
"hsa-mir-95"	18	18
"hsa-mir-130b"	18	18
"hsa-mir-301a"	18	18
"hsa-mir-29b"	17	17
"hsa-mir-29c"	17	17
"hsa-mir-7"	15	15
"hsa-mir-182"	14	14
"hsa-mir-19b"	14	14
"hsa-mir-19a"	13	13
"hsa-mir-106b"	13	13
"hsa-mir-20a"	13	13
"hsa-mir-17"	12	12
"hsa-mir-20b"	12	12
"hsa-mir-93"	12	12
"hsa-mir-106a"	12	12
"hsa-mir-126"	12	12
"hsa-mir-23a"	11	11
"hsa-mir-23b"	11	11
"hsa-mir-101"	9	9
"hsa-mir-27a"	9	9
"hsa-mir-27b"	9	9
"hsa-mir-30d"	8	8
"hsa-mir-144"	8	8
"hsa-mir-30a"	8	8
"hsa-mir-30b"	8	8
"hsa-mir-34a"	7	7
"hsa-mir-26a"	7	7
"hsa-mir-128"	7	7
"hsa-mir-26b"	7	7
"hsa-mir-146b"	6	6
"hsa-mir-200c"	6	6
"hsa-mir-320a"	6	6
"hsa-mir-145"	6	6
"hsa-mir-146a"	6	6
"hsa-mir-183"	6	6
"hsa-mir-142"	5	5
"hsa-mir-206"	5	5
"hsa-mir-21"	5	5
"hsa-mir-24"	5	5
"hsa-mir-139"	5	5
"hsa-mir-92a"	4	4
"hsa-mir-92b"	4	4
"hsa-mir-33a"	4	4
"hsa-mir-181b"	4	4
"hsa-mir-181a"	4	4
"hsa-let-7d"	3	3
"hsa-let-7g"	3	3
"hsa-mir-98"	3	3
"hsa-let-7e"	3	3
"hsa-mir-25"	3	3
"hsa-mir-9"	3	3
"hsa-mir-518a"	3	3
"hsa-let-7i"	3	3
"hsa-mir-363"	3	3
"hsa-mir-22"	3	3
"hsa-let-7f"	3	3
"hsa-mir-361"	2	2
"hsa-mir-150"	2	2
"hsa-mir-199a"	2	2
"hsa-mir-221"	2	2
"hsa-mir-199b"	2	2
"hsa-mir-222"	2	2
"hsa-mir-365a"	2	2
"hsa-mir-223"	1	1
"hsa-mir-103a"	1	1
"hsa-mir-374a"	1	1
"hsa-mir-660"	1	1
"hsa-mir-34b"	1	1
"hsa-mir-362"	1	1
"hsa-mir-451b"	1	1
"hsa-mir-107"	1	1
"hsa-mir-582"	1	1
"hsa-mir-584"	1	1
"hsa-mir-125b"	1	1